entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I269,3,3,0%,2,2,0%,2,2,0%
I270,4,4,0%,3,3,0%,3,3,0%
I271,3,3,0%,2,2,0%,2,2,0%
I272,4,4,0%,3,3,0%,3,3,0%
I273,3,3,0%,2,2,0%,2,2,0%
I274,12,12,0%,15,15,0%,2,2,0%
I275,4,4,0%,3,3,0%,3,3,0%
I276,3,3,0%,2,2,0%,2,2,0%
I277,3,3,0%,2,2,0%,2,2,0%
I278,6,6,0%,6,6,0%,2,2,0%
I279,4,4,0%,3,3,0%,3,3,0%
I280,3,3,0%,2,2,0%,2,2,0%
I281,11,11,0%,13,13,0%,3,3,0%
I282,3,3,0%,2,2,0%,2,2,0%
I283,3,3,0%,2,2,0%,2,2,0%
I284,4,4,0%,4,4,0%,2,2,0%
I285,3,3,0%,2,2,0%,2,2,0%
I286,3,3,0%,2,2,0%,2,2,0%
I287,17,15,12%,27,23,15%,3,3,0%
I288,8,8,0%,10,10,0%,2,2,0%
I289,4,4,0%,3,3,0%,3,3,0%
I290,3,3,0%,2,2,0%,2,2,0%
I291,8,8,0%,9,9,0%,2,2,0%
I292,3,3,0%,2,2,0%,2,2,0%
I293,24,17,29%,33,22,33%,3,3,0%
I294,24,17,29%,34,23,32%,3,3,0%
I295,3,3,0%,2,2,0%,2,2,0%
I296,3,3,0%,2,2,0%,2,2,0%
I297,22,16,27%,34,25,26%,3,3,0%
I298,21,15,29%,33,24,27%,2,2,0%
I299,4,4,0%,3,3,0%,3,3,0%
I300,3,3,0%,2,2,0%,2,2,0%
I301,16,16,0%,22,22,0%,2,2,0%
I302,10,10,0%,11,11,0%,3,3,0%
I303,3,3,0%,2,2,0%,2,2,0%
I304,3,3,0%,2,2,0%,2,2,0%
I305,3,3,0%,2,2,0%,2,2,0%
I306,4,4,0%,3,3,0%,3,3,0%
I307,10,10,0%,12,12,0%,3,3,0%
I308,3,3,0%,2,2,0%,2,2,0%
I309,3,3,0%,2,2,0%,2,2,0%
I310,3,3,0%,2,2,0%,2,2,0%
I311,3,3,0%,2,2,0%,2,2,0%
I312,4,4,0%,3,3,0%,3,3,0%
I313,3,3,0%,2,2,0%,2,2,0%
I314,3,3,0%,2,2,0%,2,2,0%
I315,4,4,0%,3,3,0%,3,3,0%
I316,3,3,0%,2,2,0%,2,2,0%
I317,3,3,0%,2,2,0%,2,2,0%
I318,3,3,0%,2,2,0%,2,2,0%
I319,4,4,0%,3,3,0%,3,3,0%
I320,3,3,0%,2,2,0%,2,2,0%
I321,3,3,0%,2,2,0%,2,2,0%
I322,3,3,0%,2,2,0%,2,2,0%
I323,6,6,0%,6,6,0%,2,2,0%
I324,21,15,29%,34,21,38%,2,2,0%
I325,3,3,0%,2,2,0%,2,2,0%
I326,14,14,0%,21,21,0%,3,3,0%
I327,25,17,32%,41,24,41%,3,3,0%
I328,26,17,35%,43,24,44%,3,3,0%
I329,3,3,0%,2,2,0%,2,2,0%
I330,3,3,0%,2,2,0%,2,2,0%
I331,4,4,0%,3,3,0%,3,3,0%
I332,3,3,0%,2,2,0%,2,2,0%
I333,3,3,0%,2,2,0%,2,2,0%
I334,3,3,0%,2,2,0%,2,2,0%
I335,12,12,0%,20,20,0%,2,2,0%
I336,3,3,0%,2,2,0%,2,2,0%
I337,3,3,0%,2,2,0%,2,2,0%
I338,4,4,0%,3,3,0%,3,3,0%
I339,3,3,0%,2,2,0%,2,2,0%
I340,3,3,0%,2,2,0%,2,2,0%
I341,3,3,0%,2,2,0%,2,2,0%
I342,3,3,0%,2,2,0%,2,2,0%
I343,5,5,0%,5,5,0%,3,3,0%
I344,4,4,0%,4,4,0%,2,2,0%
I345,50,19,62%,90,25,72%,3,3,0%
I346,53,18,66%,111,25,77%,3,3,0%
I347,4,4,0%,4,4,0%,2,2,0%
I348,12,12,0%,15,15,0%,2,2,0%
I349,4,4,0%,3,3,0%,3,3,0%
I350,4,4,0%,3,3,0%,3,3,0%
I351,3,3,0%,2,2,0%,2,2,0%
I352,3,3,0%,2,2,0%,2,2,0%
