entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I02P40,3,3,0%,2,2,0%,2,2,0%
I02P41,3,3,0%,2,2,0%,2,2,0%
I02P42,3,3,0%,2,2,0%,2,2,0%
I02P43,3,3,0%,2,2,0%,2,2,0%
I02P44,3,3,0%,2,2,0%,2,2,0%
I02P45,3,3,0%,2,2,0%,2,2,0%
I02P46,3,3,0%,2,2,0%,2,2,0%
I02P47,3,3,0%,2,2,0%,2,2,0%
I02P48,3,3,0%,2,2,0%,2,2,0%
I02P49,3,3,0%,2,2,0%,2,2,0%
I02P50,3,3,0%,2,2,0%,2,2,0%
I02P51,3,3,0%,2,2,0%,2,2,0%
I02P52,3,3,0%,2,2,0%,2,2,0%
I02P53,3,3,0%,2,2,0%,2,2,0%
I02P54,3,3,0%,2,2,0%,2,2,0%
I02P55,3,3,0%,2,2,0%,2,2,0%
I02P56,3,3,0%,2,2,0%,2,2,0%
I02P57,3,3,0%,2,2,0%,2,2,0%
I02P58,3,3,0%,2,2,0%,2,2,0%
I02P59,3,3,0%,2,2,0%,2,2,0%
I02P60,3,3,0%,2,2,0%,2,2,0%
I02P61,3,3,0%,2,2,0%,2,2,0%
I02P62,3,3,0%,2,2,0%,2,2,0%
I02P63,3,3,0%,2,2,0%,2,2,0%
I02P64,3,3,0%,2,2,0%,2,2,0%
I02P65,3,3,0%,2,2,0%,2,2,0%
I02P66,3,3,0%,2,2,0%,2,2,0%
I02P67,3,3,0%,2,2,0%,2,2,0%
I02P68,3,3,0%,2,2,0%,2,2,0%
I02P69,3,3,0%,2,2,0%,2,2,0%
I02P70,3,3,0%,2,2,0%,2,2,0%
I02P71,3,3,0%,2,2,0%,2,2,0%
I02P72,3,3,0%,2,2,0%,2,2,0%
I02P73,3,3,0%,2,2,0%,2,2,0%
I02P74,3,3,0%,2,2,0%,2,2,0%
I02P75,3,3,0%,2,2,0%,2,2,0%
I02P76,3,3,0%,2,2,0%,2,2,0%
I02P77,3,3,0%,2,2,0%,2,2,0%
I02P78,3,3,0%,2,2,0%,2,2,0%
I02P79,3,3,0%,2,2,0%,2,2,0%
I02P80,3,3,0%,2,2,0%,2,2,0%
I02P81,3,3,0%,2,2,0%,2,2,0%
I02P82,3,3,0%,2,2,0%,2,2,0%
I02P83,3,3,0%,2,2,0%,2,2,0%
I02P84,3,3,0%,2,2,0%,2,2,0%
I02P85,3,3,0%,2,2,0%,2,2,0%
I02P86,3,3,0%,2,2,0%,2,2,0%
I02P87,3,3,0%,2,2,0%,2,2,0%
I02P88,3,3,0%,2,2,0%,2,2,0%
I02P89,3,3,0%,2,2,0%,2,2,0%
I02P90,3,3,0%,2,2,0%,2,2,0%
I02P91,3,3,0%,2,2,0%,2,2,0%
I02P92,3,3,0%,2,2,0%,2,2,0%
I02P93,3,3,0%,2,2,0%,2,2,0%
I02P94,3,3,0%,2,2,0%,2,2,0%
I02P95,3,3,0%,2,2,0%,2,2,0%
I03P00,3,3,0%,2,2,0%,2,2,0%
I03P01,3,3,0%,2,2,0%,2,2,0%
I03P02,3,3,0%,2,2,0%,2,2,0%
I03P03,3,3,0%,2,2,0%,2,2,0%
I03P04,3,3,0%,2,2,0%,2,2,0%
I03P05,3,3,0%,2,2,0%,2,2,0%
I03P06,3,3,0%,2,2,0%,2,2,0%
I03P07,3,3,0%,2,2,0%,2,2,0%
I03P08,3,3,0%,2,2,0%,2,2,0%
I03P09,3,3,0%,2,2,0%,2,2,0%
I03P10,3,3,0%,2,2,0%,2,2,0%
I03P11,3,3,0%,2,2,0%,2,2,0%
I03P12,3,3,0%,2,2,0%,2,2,0%
I03P13,3,3,0%,2,2,0%,2,2,0%
I03P14,3,3,0%,2,2,0%,2,2,0%
I03P15,3,3,0%,2,2,0%,2,2,0%
I03P16,3,3,0%,2,2,0%,2,2,0%
I03P17,3,3,0%,2,2,0%,2,2,0%
